station_id,name,lon,lat,address,num_bikes_available,num_bikes_disabled,last_reported,distance_to_Hamilton_downtown,FS_sum_distance,FS_POI_count,FS_avg_distance,Yelp_sum_distance,Yelp_POI_count,Yelp_avg_distance
hub_765,Princess Point,-79.8945270389426,43.2729912871819,"809 Desjardins Recreation Trail, Hamilton",4,0,2024-03-09 15:06:26,3150.0,6542.0,10.0,654.2,1392.9283382161834,20.0,69.64641691080917
hub_435,Gore Park,-79.86866354942322,43.25631685939874,"20 King Street East, Hamilton",4,0,2024-03-09 15:06:26,590.0,3398.0,10.0,339.8,5390.287623762831,20.0,269.51438118814156
hub_583,Discovery Drive,-79.86029773950577,43.27606684636728,"Waterfront Trail, Hamilton",4,0,2024-03-09 15:06:26,2040.0,2507.0,10.0,250.7,7258.220311588691,20.0,362.91101557943455
hub_612,Delaware at Myrtle,-79.8495236914621,43.2480454302898,"17, Delaware Avenue, Inch Park, Hamilton, Ontario",4,0,2024-03-09 15:06:26,1460.0,4799.0,10.0,479.9,16109.888415063566,20.0,805.4944207531782
hub_599,Corktown Park,-79.8641461491451,43.2492552510953,"174, Ferguson Avenue South, Corktown, Hamilton, Ontario",4,0,2024-03-09 15:06:26,970.0,5311.0,10.0,531.1,13662.272402488403,20.0,683.1136201244201
hub_564,Locke at Napier,-79.8827367298478,43.2628018805713,"64, Locke Street North, Hess Village, Hamilton, Ontario",4,0,2024-03-09 15:06:26,1800.0,4642.0,10.0,464.2,13071.81606544009,20.0,653.5908032720046
hub_602,King William at Victoria,-79.85582381486893,43.2541543623113,"338, King William Street, Beasley, Hamilton, Ontario",4,0,2024-03-09 15:06:26,620.0,3744.0,10.0,374.4,17835.315980226736,20.0,891.7657990113369
hub_604,Cannon at Wentworth - 96,-79.8475054418754,43.2559617394464,"451, Cannon Street East, Beasley, Hamilton, Ontario",4,0,2024-03-09 15:06:26,1160.0,4202.0,10.0,420.2,13434.260932704776,20.0,671.7130466352388
hub_586,Catharine at Forest,-79.8677950761702,43.2496648107707,"175 Catharine Street South, Hamilton",4,0,2024-03-09 15:06:26,1030.0,4364.0,10.0,436.4,12451.41979216057,20.0,622.5709896080285
hub_570,Queen at Peter,-79.877606006297,43.2618861338306,"80, Queen Street North, Hess Village, Hamilton, Ontario",4,0,2024-03-09 15:06:26,1370.0,3798.0,10.0,379.8,15027.049484390218,20.0,751.3524742195109
